attachments_num,email_subject_length,content_transfer_encoding_base64_num,content_disposition_attachment_num,content_disposition_num,content_disposition_unique_num,attachments_total_size,content_type_multipart_mixed_num,content_type_total_num,content_type_unique_num,content_transfer_encoding_unique_num,content_transfer_encoding_total_num,email_span_time,total_size_EmailMessage_in_bytes,email_eml_string_total_size_in_bytes,body_plain_text_length,Classification
1,26,1,1,1,1,99484,0,3,3,2,3,1347,56,137684,1,Phishing
1,61,1,1,1,1,29412,0,2,2,2,2,189,56,42428,0,Phishing
0,32,0,0,0,0,0,0,2,2,1,2,1538,56,14192,1155,Phishing
0,58,0,0,0,0,0,0,1,1,1,1,16,56,7086,0,Phishing
0,24,0,0,0,0,0,0,2,2,1,2,271,56,24594,1490,Phishing
0,42,0,0,0,0,0,0,1,1,1,1,1874,56,3284,0,Phishing
0,34,0,0,0,0,0,0,1,1,0,0,211,56,8289,0,Phishing
0,42,0,0,0,0,0,0,1,1,1,1,748,56,3912,0,Phishing
0,38,0,0,0,0,0,0,1,1,1,1,193,56,7019,0,Phishing
1,33,1,0,0,0,1160,0,2,2,2,2,24,56,10650,0,Phishing
1,38,1,0,0,0,443,0,2,2,2,2,66,56,6576,0,Phishing
0,21,0,0,0,0,0,0,2,2,1,2,432,56,18646,455,Phishing
0,33,0,0,0,0,0,0,2,2,1,2,1,56,3250,149,Phishing
0,10,0,0,0,0,0,0,2,2,1,2,205,56,8182,231,Phishing
0,40,0,0,0,0,0,0,2,2,1,2,4,56,16942,217,Phishing
0,25,0,0,0,0,0,0,2,2,1,2,4004,56,2554,2,Phishing
0,30,0,0,0,0,0,0,1,1,1,1,2,56,5450,0,Phishing
0,51,0,0,0,0,0,0,1,1,1,1,6,56,33266,0,Phishing
0,19,0,0,0,0,0,0,2,2,1,2,75,56,8304,202,Phishing
0,52,0,0,0,0,0,0,1,1,1,1,20,56,23581,0,Phishing
0,10,0,0,0,0,0,0,2,2,1,2,459,56,9937,191,Phishing
0,25,0,0,0,0,0,0,2,2,1,2,4,56,12404,562,Phishing
1,63,1,0,0,0,8546,0,2,2,2,2,104,56,23916,0,Phishing
1,32,1,0,0,0,1160,0,2,2,2,2,3,56,11439,0,Phishing
0,16,0,0,0,0,0,0,2,2,1,2,64,56,7060,230,Phishing
0,28,0,0,0,0,0,0,2,2,1,2,495,56,5747,774,Phishing
0,43,1,0,0,0,0,0,1,1,1,1,3,56,43897,0,Phishing
1,32,1,0,0,0,1160,0,2,2,2,2,4,56,9789,0,Phishing
0,44,0,0,0,0,0,0,1,1,1,1,10,56,17832,0,Phishing
0,42,0,0,0,0,0,0,1,1,1,1,37,56,13485,0,Phishing
1,24,2,1,1,1,8805,0,4,3,2,4,7,56,130662,363,Phishing
0,35,0,0,0,0,0,0,1,1,0,0,3899,56,10734,0,Phishing
1,31,2,1,1,1,1443,0,3,3,2,3,36,56,15264,0,Phishing
1,32,1,0,0,0,1160,0,2,2,2,2,6,56,11568,0,Phishing
0,22,0,0,0,0,0,0,2,2,1,2,146,56,5223,724,Phishing
0,30,0,0,0,0,0,0,1,1,1,1,513,56,8349,0,Phishing
5,20,6,1,5,2,10878,0,8,7,2,8,117,56,34915,2217,Phishing
1,94,1,1,1,1,60525,0,3,3,2,2,61,56,88867,102,Phishing
1,94,1,1,1,1,60525,0,3,3,2,2,47,56,88867,102,Phishing
0,24,0,0,0,0,0,0,2,2,1,2,23,56,8965,483,Phishing
0,44,0,0,0,0,0,0,2,2,1,2,231,56,4915,314,Phishing
0,44,0,0,0,0,0,0,2,2,1,2,5,56,37739,494,Phishing
0,44,0,0,0,0,0,0,1,1,1,1,39638,56,11879,0,Phishing
2,32,2,0,0,0,2404,0,3,3,2,3,2,56,10170,0,Phishing
